kanji	codepoint	strokes	grade	freq	jlpt	ref_sh_kk	on'yomi	kun'yomi	meanings
煽	29053	14					セン	あお･る, おだ･てる, おこ･る	fan, flap, instigate, agitate, bolster up, gulp down
旋	26059	11	8	1801	1	1005	セン	め･ぐる, いばり	rotation, go around
穿	31359	10	9				セン	うが･つ, は･く	put on (to the feet), dig, pierce, drill
箭	31661	15					セン	や	arrow
線	32218	15	2	382	2	299	セン	すじ	line, track
繊	32330	17	8	1451	1	1571	セン		slender, fine, thin kimono
羨	32680	13	8				セン, エン	うらや･む, あまり	envious, be jealous, covet
腺	33146	13	8				セン		gland, (kokuji)
舛	33307	6		2490			ブ, セン	まい, そむ･く	dancing radical (no. 136)
船	33337	11	2	713	2	376	セン	ふね, ふな-	ship, boat
薦	34214	16	8	1082	1	1631	セン	すす･める	recommend, mat, advise, encourage, offer
詮	35438	13	8				セン	せん･ずる, かい, あき･らか	discussion, methods called for, selection, result
賎	36046	13					セン, ゼン	いや･しい, いや･しむ, いや･しめる, しず, やす･い	despise, low-life, poverty
践	36341	13	8	1570	1	1568	セン	ふ･む	tread, step on, trample, practice, carry through
選	36984	15	4	57	2	800	セン	えら･ぶ, え･る, よ･る	elect, select, choose, prefer
遷	36983	15	8	1937	1	921	セン	うつ･る, うつ･す, みやこがえ	transition, move, change
銭	37549	14	6	1008	1	648	セン, ゼン	ぜに, すき	coin, .01 yen, money
銑	37521	14	9		1	1905	セン		pig iron
閃	38275	10	9				セン	ひらめ･く, ひらめ･き, うかが･う	flash, brandish
鮮	39854	17	8	355	1	701	セン	あざ･やか	fresh, vivid, clear, brilliant, Korea
前	21069	9	2	27	4	47	ゼン	まえ, -まえ	in front, before
善	21892	12	6	765	2	1139	ゼン	よ･い, い･い, よ･く, よし･とする	virtuous, good, goodness
漸	28472	14	8	2115	1	1400	ゼン	ようや･く, やや, ようよ･う, すす･む	steadily, gradually advancing, finally, barely
然	28982	12	4	401	2	651	ゼン, ネン	しか, しか･り, しか･し, さ	sort of thing, so, if so, in that case, well
全	20840	6	3	75	2	89	ゼン	まった･く, すべ･て	whole, entire, all, complete, fulfill
禅	31109	13	8	1902	1	1540	ゼン, セン	しずか, ゆず･る	Zen, silent meditation
繕	32341	18	8	2195	1	1140	ゼン	つくろ･う	darning, repair, mend, trim, tidy up, adjust
膳	33203	16	8	2120			ゼン, セン	かしわ, すす･める, そな･える	small low table, tray
糎	31950	15						センチ, センチメートル	centimeter, (kokuji)
噌	22092	14	9				ソウ, ショウ, ソ	かまびす･しい	boisterous
塑	22609	13	8		1	1838	ソ	でく	model, molding
岨	23720	8					ソ, ショ	いしやま, そば	a rocky mountain
措	25514	11	8	818	1	1200	ソ	お･く	set aside, give up, suspend, discontinue, lay aside, except
曾	26366	12	10				ソウ, ソ, ゾウ	かつ･て, か･って, すなわち	once, before, formerly, ever, never, ex-
曽	26365	11	8	1320			ソウ, ソ, ゾウ	かつ, かつて, すなわち	formerly, once, before, ever, never, ex-
楚	26970	13	9				ソ, ショ	いばら, しもと, すわえ	whip, cane
狙	29401	8	8	745			ソ, ショ	ねら･う, ねら･い	aim at, sight, shadow, stalk
疏	30095	12	9				ソ, ショ	あら･い, うと･い, うと･む, とお･る, とお･す, まばら	pass through, note, commentary, estrangement, sparseness, neglect, penetrate
疎	30094	12	8	1572	1	1514	ソ, ショ	うと･い, うと･む, まば･ら	alienate, rough, neglect, shun, sparse, penetrate
礎	30990	18	8	1224	1	1515	ソ	いしずえ	cornerstone, foundation stone
祖	31062	9	5	1226	2	622	ソ		ancestor, pioneer, founder
租	31199	10	8	2089	1	1083	ソ		tariff, crop tax, borrowing
粗	31895	11	8	1689	1	1084	ソ	あら･い, あら-	coarse, rough, rugged
素	32032	10	5	660	1	271	ソ, ス	もと	elementary, principle, naked, uncovered
組	32068	11	2	204	2	418	ソ	く･む, くみ, -ぐみ	association, braid, plait, construct, assemble, unite, cooperate, grapple
蘇	34311	19	9	1968			ソ, ス	よみがえ･る	be resuscitated, revived, perilla, shiso
訴	35380	12	8	427	1	1402	ソ	うった･える	accusation, sue, complain of pain, appeal to
阻	38459	8	8	1280	1	1085	ソ	はば･む	thwart, separate from, prevent, obstruct, deter, impede
遡	36961	13	8				ソ, サク	さかのぼ･る	go upstream, retrace the past
鼠	40736	13					ソ, ショ	ねずみ, ねず	rat, mouse, dark gray
僧	20711	13	8	1724	1	1366	ソウ		Buddhist priest, monk
創	21109	12	6	741	1	1308	ソウ, ショウ	つく･る, はじ･める, きず, けず･しける	genesis, wound, injury, hurt, start, originate
双	21452	4	8	1029	2	1594	ソウ	ふた, たぐい, ならぶ, ふたつ	pair, set, comparison, counter for pairs
叢	21474	18	9	2436			ソウ, ス	くさむら, むら･がる, むら	plexus, clump of bushes, thicket
倉	20489	10	4	1114	1	1307	ソウ	くら	godown, warehouse, storehouse, cellar, treasury
喪	21930	12	8	885	1	1678	ソウ	も	miss, mourning
壮	22766	6	8	1657	1	1326	ソウ	さかん	robust, manhood, prosperity
奏	22863	9	6	1067	1	1544	ソウ	かな･でる	play music, speak to a ruler, complete
爽	29245	11	8	2333	1	2046	ソウ	あき･らか, さわ･やか, たがう	refreshing, bracing, resonant, sweet, clear
宋	23435	7	9	2058			ソウ		dwell, Sung dynasty
層	23652	14	6	801	2	1367	ソウ		stratum, social class, layer, story, floor
匝	21277	5					キョウ, ソウ	めぐ･る	go around
惣	24803	12	9	2211	1	2074	ソウ	すべ･て	all
想	24819	13	3	381	2	147	ソウ, ソ	おも･う	concept, think, idea, thought
捜	25436	10	8	592	2	989	ソウ, シュ, シュウ	さが･す	search, look for, locate
掃	25475	11	8	1255	2	1080	ソウ, シュ	は･く	sweep, brush
挿	25407	10	8	1908	1	1651	ソウ	さ･す, はさ･む	insert, put in, graft, wear (sword)
掻	25531	11					ソウ	か･く	scratch, rake, comb, paddle, behead
操	25805	16	6	1016	2	1655	ソウ, サン	みさお, あやつ･る	maneuver, manipulate, operate, steer, chastity, virginity, fidelity
早	26089	6	1	402	3	248	ソウ, サッ	はや･い, はや, はや-, はや･まる, はや･める, さ-	early, fast
曹	26361	11	8	1998	1	1929	ソウ, ゾウ		office, official, comrade, fellow
巣	24035	11	4	1588	1	1538	ソウ	す, す･くう	nest, rookery, hive, cobweb, den
槍	27085	14	9	2261			ソウ, ショウ	やり	spear, lance, javelin
槽	27133	15	8	1809	1	1644	ソウ	ふね	vat, tub, tank
漕	28437	14	9	2354			ソウ	こ･ぐ, はこ･ぶ	rowing, scull, paddle
燥	29157	17	8	1819	2	1656	ソウ	はしゃ･ぐ	parch, dry up
争	20105	6	4	271	2	302	ソウ	あらそ･う, いか･でか	contend, dispute, argue
痩	30185	12	8				ソウ, チュウ, シュウ, シュ	や･せる	get thin
相	30456	9	3	45	2	146	ソウ, ショウ	あい-	inter-, mutual, together, each other, minister of state, councillor, aspect, phase, physiognomy
窓	31379	11	6	1186	2	698	ソウ, ス	まど, てんまど, けむだし	window, pane
糟	31967	17					コウ, ソウ	ぬか	dregs, sediment, grounds
総	32207	14	5	129	2	697	ソウ	す･べて, すべ･て, ふさ	general, whole, all, full, total
綜	32156	14	9	2194	1	2196	ソウ	おさ･める, す･べる	rule, synthesize
聡	32865	14	9	1507	1	2203	ソウ	さと･い, みみざと･い	wise, fast learner
草	33609	9	1	967	2	249	ソウ	くさ, くさ-, -ぐさ	grass, weeds, herbs, pasture, write, draft
荘	33624	9	8	1489	1	1327	ソウ, ショウ, チャン	ほうき, おごそ･か	villa, inn, cottage, feudal manor, solemn, dignified
葬	33900	12	8	754	1	812	ソウ	ほうむ･る	interment, bury, shelve
蒼	33980	13	9	2276	1	2225	ソウ	あお･い	blue, pale
藻	34299	19	8	2124	1	1657	ソウ	も	seaweed, duckweed
装	35013	12	6	657	2	1328	ソウ, ショウ	よそお･う, よそお･い	attire, dress, pretend, disguise, profess
走	36208	7	2	626	3	429	ソウ	はし･る	run
送	36865	9	3	311	3	441	ソウ	おく･る	escort, send
遭	36973	14	8	1554	1	1643	ソウ	あ･う, あ･わせる	encounter, meet, party, association, interview, join
鎗	37783	18					ソウ, ショウ	やり	spear, lance, javelin
霜	38684	17	8	2151	1	948	ソウ	しも	frost
騒	39442	18	8	1069	1	875	ソウ	さわ･ぐ, うれい, さわ･がしい	boisterous, make noise, clamor, disturb, excite
像	20687	14	5	856	2	740	ゾウ		statue, picture, image, figure, portrait
増	22679	14	5	231	2	712	ゾウ	ま･す, ま･し, ふ･える, ふ･やす	increase, add, augment, gain, promote
憎	24974	14	8	1808	2	1365	ゾウ	にく･む, にく･い, にく･らしい, にく･しみ	hate, detest
臓	33235	19	6	991	2	1287	ゾウ	はらわた	entrails, viscera, bowels
蔵	34101	15	6	468	2	1286	ゾウ, ソウ	くら, おさ･める, かく･れる	storehouse, hide, own, have, possess
贈	36104	18	8	1001	2	1364	ゾウ, ソウ	おく･る	presents, send, give to, award to, confer on, presenting something
造	36896	10	5	429	2	691	ゾウ	つく･る, つく･り, -づく･り	create, make, structure, physique
促	20419	9	8	998	1	1557	ソク	うなが･す	stimulate, urge, press, demand, incite
側	20596	11	4	216	2	609	ソク	かわ, がわ, そば	side, lean, oppose, regret
則	21063	9	5	753	2	608	ソク	のっと･る, のり, すなわち	rule, law, follow, based on, model after
即	21363	7	8	1167	1	463	ソク	つ･く, つ･ける, すなわ･ち	instant, namely, as is, conform, agree, adapt
息	24687	10	3	882	2	1242	ソク	いき	breath, respiration, son, interest (on money), nuture, rest, coming to an end
捉	25417	10	8	1976			ソク, サク	とら･える	catch, capture
束	26463	7	4	918	2	501	ソク	たば, たば･ねる, つか, つか･ねる	bundle, sheaf, ream, tie in bundles, govern, manage, control
測	28204	12	5	761	2	610	ソク	はか･る	fathom, plan, scheme, measure
足	36275	7	1	343	4	58	ソク	あし, た･りる, た･る, た･す	leg, foot, be sufficient, counter for pairs of footwear
速	36895	10	3	576	2	502	ソク	はや･い, はや-, はや･める, すみ･やか	quick, fast
俗	20439	9	8	1610	1	1126	ゾク		vulgar, customs, manners, worldliness, mundane things
属	23646	12	5	912	1	1637	ゾク, ショク	さかん, つく, やから	belong, genus, subordinate official, affiliated
賊	36042	13	8	2045	1	1807	ゾク		burglar, rebel, traitor, robber
族	26063	11	3	393	3	221	ゾク		tribe, family
続	32154	13	4	141	2	243	ゾク, ショク, コウ, キョウ	つづ･く, つづ･ける, つぐ･ない	continue, series, sequel
卒	21330	8	4	772	2	787	ソツ, シュツ	そっ･する, お･える, お･わる, ついに, にわか	graduate, soldier, private, die
袖	34966	10	8	1960			シュウ	そで	sleeve, wing (building), extension, give cold shoulder
其	20854	8	9	1930			キ, ギ, ゴ	それ, その	that
揃	25539	12	9	2412			セン	そろ･える, そろ･う, そろ･い, き･る	be complete, uniform, all present
存	23384	6	6	577	2	269	ソン, ゾン	ながら･える, あ･る, たも･つ, と･う	exist, suppose, be aware of, believe, feel
孫	23403	10	4	1388	2	910	ソン	まご	grandchild, descendants
尊	23562	12	6	1181	2	704	ソン	たっと･い, とうと･い, たっと･ぶ, とうと･ぶ	revered, valuable, precious, noble, exalted
損	25613	13	5	807	2	350	ソン	そこ･なう, そこな･う, -そこ･なう, そこ･ねる, -そこ･ねる	damage, loss, disadvantage, hurt, injure
村	26449	7	1	253	3	191	ソン	むら	village, town
遜	36956	13	8				ソン	したが･う, へりくだ･る, ゆず･る	humble, modest
他	20182	5	3	543	2	120	タ	ほか	other, another, the others
多	22810	6	2	139	4	229	タ	おお･い, まさ･に, まさ･る	many, frequent, much
太	22826	4	2	552	3	629	タイ, タ	ふと･い, ふと･る	plump, thick, big around
汰	27760	7	8		1	2136	タ, タイ	おご･る, にご･る, よな･げる	washing, sieving, filtering, weeding out, luxury
詑	35409	12					イ, タ, ダ	わ･びる, わ･び, あざむ･く	deceive, delude
唾	21822	11	8				ダ, タ	つば, つばき	saliva, sputum
堕	22549	12	8	2087	1	1742	ダ	お･ちる, くず･す, くず･れる	degenerate, descend to, lapse into
妥	22949	7	8	1102	1	930	ダ		gentle, peace, depravity
惰	24816	12	8	2336	1	1743	ダ		lazy, laziness
打	25171	5	3	239	2	1020	ダ, ダース	う･つ, う･ち-, ぶ･つ	strike, hit, knock, pound, dozen
柁	26561	9					ダ, タ	かじ	rudder, helm, wheel
舵	33333	11	9	2225			ダ, タ	かじ	rudder, helm, wheel
楕	26965	13	9	2476			ダ, タ		ellipse
陀	38464	8	9				タ, ダ, イ, チ, ジ	けわ･しい, ななめ	steep
駄	39364	14	8	1500	1	1880	ダ, タ		burdensome, pack horse, horse load, send by horse, trivial, worthless
騨	39464	19					タン, ダン, タ, ダ, テン		dappled grey horse
体	20307	7	2	88	3	61	タイ, テイ	からだ, かたち	body, substance, object, reality, counter for images
堆	22534	11	8	2184			タイ, ツイ	うずたか･い	piled high
対	23550	7	3	34	2	365	タイ, ツイ	あいて, こた･える, そろ･い, つれあ･い, なら･ぶ, むか･う	vis-a-vis, opposite, even, equal, versus, anti-, compare
耐	32784	9	8	1295	1	1415	タイ	た･える	-proof, enduring
岱	23729	8					タイ		old name for a Chinese mountain, Taishan
帯	24111	10	4	746	2	963	タイ	お･びる, おび	sash, belt, obi, zone, region
待	24453	9	3	391	3	452	タイ	ま･つ, -ま･ち	wait, depend on
怠	24608	9	8	1703	1	1297	タイ	おこた･る, なま･ける	neglect, laziness
態	24907	14	5	353	1	387	タイ	わざ･と	attitude, condition, figure, appearance, voice (of verbs)
戴	25140	17	8	2332			タイ	いただ･く	be crowned with, live under (a ruler), receive
替	26367	12	8	979	2	744	タイ	か･える, か･え-, か･わる	exchange, spare, substitute, per-
泰	27888	10	8	1281	1	1545	タイ		peaceful, calm, peace, easy, Thailand, extreme, excessive, great
滞	28382	13	8	1107	1	964	タイ, テイ	とどこお･る	stagnate, be delayed, overdue, arrears
胎	32974	9	8	1861	1	1296	タイ		womb, uterus
腿	33151	13					タイ	もも	thigh, femur
苔	33492	8	9				タイ	こけ, こけら	moss, lichen
袋	34955	11	8	1125	2	1329	タイ, ダイ	ふくろ	sack, bag, pouch
貸	36024	12	5	995	3	748	タイ	か･す, か･し-, かし-	lend
退	36864	9	6	424	2	846	タイ	しりぞ･く, しりぞ･ける, ひ･く, の･く, の･ける, ど･く	retreat, withdraw, retire, resign, repel, expel, reject
逮	36910	11	8	766	1	891	タイ		apprehend, chase
隊	38538	12	4	605	1	795	タイ		regiment, party, company, squad
黛	40667	16	9	2254	1	2283	タイ	まゆずみ	blackened eyebrows
鯛	39899	19	9	2446	1	2272	チョウ	たい	sea bream, red snapper
代	20195	5	3	66	3	256	ダイ, タイ	か･わる, かわ･る, かわ･り, か･わり, -がわ･り, -が･わり, か･える, よ, しろ	substitute, change, convert, replace, period, age, counter for decades of ages, eras, etc., generation, charge, rate, fee
台	21488	5	2	262	3	492	ダイ, タイ	うてな, われ, つかさ	pedestal, a stand, counter for machines and vehicles
大	22823	3	1	7	4	26	ダイ, タイ	おお-, おお･きい, -おお･いに	large, big
第	31532	11	3	160	2	404	ダイ, テイ		No., residence
醍	37261	16	9	2303			ダイ, タイ, テイ		whey, good Buddhist teaching
題	38988	18	3	96	3	354	ダイ		topic, subject
鷹	40441	24	9	1676	1	2278	ヨウ, オウ	たか	hawk
滝	28381	13	8	1478	1	1759	ロウ, ソウ	たき	waterfall, rapids, cascade
瀧	28711	19	10				ロウ, ソウ	たき	waterfall, rapids, cascade
卓	21331	8	8	1348	1	1679	タク		eminent, table, desk, high
啄	21828	10	9	2463	1	2038	タク, ツク, トク	ついば･む, つつ･く	peck, pick up
宅	23429	6	6	357	2	178	タク		home, house, residence, our house, my husband
托	25176	6	9				タク	たく･する, たの･む	requesting, entrusting with, pretend, hint
択	25246	7	8	847	1	993	タク	えら･ぶ	choose, select, elect, prefer
拓	25299	8	8	1526	1	1833	タク	ひら･く	clear (the land), open, break up (land)
沢	27810	7	8	296	1	994	タク	さわ, うるお･い, うるお･す, つや	swamp, marsh, brilliance, grace
濯	28655	17	8	1698	2	1561	タク	すす･ぐ, ゆす･ぐ	laundry, wash, pour on, rinse
琢	29730	11	9	2022	1	2158	タク	みが･く	polish
託	35351	10	8	1021	1	1636	タク	かこつ･ける, かこ･つ, かこ･つける	consign, requesting, entrusting with, pretend, hint
鐸	37944	21					タク		large hand bell
濁	28609	16	8	1883	1	1625	ダク, ジョク	にご･る, にご･す	voiced, uncleanness, wrong, nigori, impurity
諾	35582	15	8	1490	1	1770	ダク		consent, assent, agreement
茸	33592	9	9				ジョウ, ニュ	きのこ, たけ, しげ･る	mushroom
凧	20967	5	9	2117				いかのぼり, たこ	kite, (kokuji)
蛸	34552	13					ソウ, ショウ	たこ	octopus
只	21482	5	9	2288	1	2034	シ	ただ	only, free, in addition
叩	21481	5		2316			コウ	たた･く, はた･く, すぎ	strike, beat, kow tow, hit, thrash, criticize
但	20294	7	8	2404	1	1927	タン	ただ･し	however, but
達	36948	12	4	500	2	448	タツ, ダ	-たち	accomplished, reach, arrive, attain
辰	36784	7	9	1600	1	2246	シン, ジン	たつ	sign of the dragon, 7-9AM, fifth sign of Chinese zodiac, shin dragon radical (no. 161)
奪	22890	14	8	974	1	1310	ダツ	うば･う	rob, take by force, snatch away, dispossess, plunder, usurp
脱	33073	11	8	782	1	1370	ダツ	ぬ･ぐ, ぬ･げる	undress, removing, escape from, get rid of, be left out, take off
巽	24061	12	9	2061	1	2062	ソン	たつみ	southeast
竪	31466	14	9	2370			ジュ	たて, た･てる, こども	length, height, warp
辿	36799	6	9				テン	たど･る, たどり	follow (road), pursue
棚	26842	12	8	1594	1	1908	ホウ	たな, -だな	shelf, ledge, rack, mount, mantle, trellis
谷	35895	7	2	508	2	653	コク	たに, きわ･まる	valley
狸	29432	10		2498			リ, ライ	たぬき	tanuki, raccoon
鱈	40008	22					セツ	たら	codfish, (kokuji)
樽	27197	16	9	1981			ソン	たる	barrel, cask, keg
誰	35504	15	8	1933			スイ	だれ, たれ, た	who, someone, somebody
丹	20025	4	8	1402	1	1093	タン	に	rust-colored, red, red lead, pills, sincerity
単	21336	9	4	586	2	300	タン	ひとえ	simple, one, single, merely
嘆	22022	13	8	1584	1	1246	タン	なげ･く, なげ･かわしい	sigh, lament, moan, grieve, sigh of admiration
坦	22374	8	9				タン	たいら	level, wide
担	25285	8	6	422	2	1274	タン	かつ･ぐ, にな･う	shouldering, carry, raise, bear
探	25506	11	6	930	2	535	タン	さぐ･る, さが･す	grope, search, look for
旦	26086	5	8		1	2085	タン, ダン	あき･らか, あきら, ただし, あさ, あした	daybreak, dawn, morning
歎	27470	14	9				タン	なげ･く, なげ･き	grief, lamentation
淡	28129	11	8	1436	1	1337	タン	あわ･い	thin, faint, pale, fleeting
湛	28251	12	9	2183			タン, チン, ジン, セン	しず･む, たた･える	fill, wear (a smile), clear, pure, dense, deep
炭	28845	9	3	1307	2	1344	タン	すみ	charcoal, coal
短	30701	12	3	689	3	215	タン	みじか･い	short, brevity, fault, defect, weak point
端	31471	14	8	960	1	1418	タン	はし, は, はた, -ばた, はな	edge, origin, end, point, border, verge, cape
箪	31658	15					タン	はこ	bamboo rice basket
綻	32187	14	8				タン	ほころ･びる	be rent, ripped, unravel, run, begin to open, smile
耽	32829	10	9				タン	ふけ･る	addicted, absorbed in
胆	32966	9	8	1449	1	1273	タン	きも	gall bladder, courage, pluck, nerve
蛋	34507	11		2266			タン		barbarian, egg
誕	35477	15	6	1024	1	1116	タン		nativity, be born, declension, lie, be arbitrary
鍛	37723	17	8	1793	1	1817	タン	きた･える	forge, discipline, train
団	22243	6	5	213	2	491	ダン, トン	かたまり, まる･い	group, association
壇	22727	16	8	1512	1	1839	ダン, タン		podium, stage, rostrum, terrace
弾	24382	12	8	853	1	1539	ダン, タン	ひ･く, -ひ･き, はず･む, たま, はじ･く, はじ･ける, ただ･す, はじ･きゆみ	bullet, twang, flip, snap
断	26029	11	5	338	2	1024	ダン	た･つ, ことわ･る, さだ･める	severance, decline, refuse, apologize, warn, dismiss, prohibit, decision, judgement, cutting
暖	26262	13	6	1371	2	635	ダン, ノン	あたた･か, あたた･かい, あたた･まる, あたた･める	warmth
檀	27264	17	9	2291	1	2128	ダン, タン	まゆみ	cedar, sandlewood, spindle tree
段	27573	9	6	479	2	362	ダン, タン		grade, steps, stairs
男	30007	7	1	240	4	101	ダン, ナン	おとこ, お	male
談	35527	15	3	272	2	593	ダン		discuss, talk
値	20516	10	6	518	2	425	チ	ね, あたい	price, cost, value
知	30693	8	2	205	3	214	チ	し･る, し･らせる	know, wisdom
地	22320	6	2	40	3	118	チ, ジ		ground, earth
弛	24347	6	9	2497			チ, シ	たる･む, たる･める, たゆ･む, ゆる･む, ゆる･み	slacken, relax
恥	24677	10	8	1575	2	1690	チ	は･じる, はじ, は･じらう, は･ずかしい	shame, dishonor
智	26234	12	9	1002	1	2099	チ		wisdom, intellect, reason
池	27744	6	2	827	3	119	チ	いけ	pond, cistern, pool, reservoir
痴	30196	13	8	1663	1	1813	チ	し･れる, おろか	stupid, foolish
稚	31258	13	8	1560	1	1230	チ, ジ	いとけない, おさない, おくて, おでる	immature, young
置	32622	13	4	277	2	426	チ	お･く, -お･き	placement, put, set, deposit, leave behind, keep, employ, pawn
致	33268	10	8	870	1	903	チ	いた･す	doth, do, send, forward, cause, exert, incur, engage
蜘	34584	14					チ	くも	spider
遅	36933	12	8	833	2	702	チ	おく･れる, おく･らす, おそ･い	slow, late, back, later
馳	39347	13	9				チ, ジ	は･せる	run, gallop, sail, drive (a wagon), win (fame), despatch
築	31689	16	5	821	2	1603	チク	きず･く	fabricate, build, construct
畜	30044	10	8	1824	2	1223	チク		livestock, domestic fowl and animals
竹	31481	6	1	593	2	129	チク	たけ	bamboo
筑	31569	12	9	1530			チク		an ancient musical instrument
蓄	33988	13	8	1260	1	1224	チク	たくわ･える	amass, raise, hoard, store
逐	36880	10	8	2230	1	1134	チク		pursue, drive away, chase, accomplish, attain, commit
秩	31209	10	8	1275	1	1508	チツ		regularity, salary, order
窒	31378	11	8	1776	1	1716	チツ		plug up, obstruct
茶	33590	9	2	1116	3	251	チャ, サ		tea
嫡	23265	14	8	2130	1	1932	チャク, テキ		legitimate wife, direct descent (non-bastard)
着	30528	12	3	376	3	657	チャク, ジャク	き･る, き･せる, つ･く, つ･ける	don, arrive, wear, counter for suits of clothing
中	20013	4	1	11	4	28	チュウ	なか, うち, あた･る	in, inside, middle, mean, center
仲	20210	6	4	919	2	1347	チュウ	なか	go-between, relationship
宙	23449	8	6	1005	2	991	チュウ		mid-air, air, space, sky, memorization, interval of time
忠	24544	8	6	1113	1	1348	チュウ		loyalty, fidelity, faithfulness
抽	25277	8	8	1437	1	987	チュウ	ひき-	pluck, pull, extract, excel
昼	26172	9	2	1115	3	470	チュウ	ひる	daytime, noon
柱	26609	9	3	1119	2	598	チュウ	はしら	pillar, post, cylinder, support
注	27880	8	3	497	3	357	チュウ	そそ･ぐ, さ･す, つ･ぐ	pour, irrigate, shed (tears), flow into, concentrate on, notes, comment, annotate
虫	34411	6	1	1351	2	873	チュウ, キ	むし	insect, bug, temper
衷	34935	9	8	2229	1	1677	チュウ		inmost, heart, mind, inside
註	35387	12	9				チュウ		notes, comment, annotate
酎	37198	10	8				チュウ, チュ	かも･す	sake
鋳	37619	15	8	2005	1	1551	チュウ, イ, シュ, シュウ	い･る	casting, mint
駐	39376	15	8	955	2	599	チュウ		stop-over, reside in, resident
樗	27159	15					チョ	おおち, おうち	Japanese bead tree
瀦	28710	18					チョ		pool, puddle
猪	29482	11	9	1684	1	2155	チョ	い, いのしし	boar
苧	33511	8					チョ	お, からんし, からむし	hemp, flax
著	33879	11	6	849	2	859	チョ, チャク	あらわ･す, いちじる･しい	renowned, publish, write, remarkable, phenomenal, put on, don, wear, arrival, finish (race), counter for suits of clothing, literary work
貯	36015	12	5	1100	2	762	チョ	た･める, たくわ･える	savings, store, lay in, keep, wear mustache
丁	19969	2	3	1312	1	184	チョウ, テイ, チン, トウ, チ	ひのと	street, ward, town, counter for guns, tools, leaves or cakes of something, even number, 4th calendar sign
兆	20806	6	4	1174	2	1562	チョウ	きざ･す, きざ･し	portent, 10**12, trillion, sign, omen, symptoms
凋	20939	10					チョウ	しぼ･む	wither, droop, lame
喋	21899	12	9	2403			チョウ, トウ	しゃべ･る, ついば･む	talk, chat, chatter
寵	23541	19	9				チョウ	めぐ･み, めぐ･む	affection, love, patronage
帖	24086	8	9	2208			チョウ, ジョウ	かきもの	quire (of paper), bundle of seaweed, counter for screens, notebook
帳	24115	11	3	1459	1	1107	チョウ	とばり	notebook, account book, album, curtain, veil, net, tent
庁	24193	5	6	793	2	763	チョウ, テイ	やくしょ	government office
弔	24340	4	8	1840	1	1796	チョウ	とむら･う, とぶら･う	condolences, mourning, funeral
張	24373	11	5	403	2	1106	チョウ	は･る, -は･り, -ば･り	lengthen, counter for bows & stringed instruments, stretch, spread, put up (tent)
彫	24427	11	8	1533	1	1149	チョウ	ほ･る, -ぼ･り	carve, engrave, chisel
徴	24500	14	8	850	1	1420	チョウ, チ	しるし	indications, sign, omen, symptom, collect, seek, refer to, question
懲	25074	18	8	1303	1	1421	チョウ	こ･りる, こ･らす, こ･らしめる	penal, chastise, punish, discipline
挑	25361	9	8	989	1	1564	チョウ	いど･む	challenge, contend for, make love to
暢	26274	14	9	2144	1	2097	チョウ	のび･る	stretch
朝	26397	12	2	248	3	469	チョウ	あさ	morning, dynasty, regime, epoch, period, (North) Korea
潮	28526	15	6	1231	1	468	チョウ	しお, うしお	tide, salt water, opportunity
牒	29266	13	9				チョウ, ジョウ	ふだ	label, genealogy, circular
町	30010	7	1	292	3	182	チョウ	まち	town, village, block, street
眺	30522	11	8	1726	1	1565	チョウ	なが･める	stare, watch, look at, see, scrutinize
聴	32884	17	8	781	1	1039	チョウ, テイ	き･く, ゆる･す	listen, headstrong, naughty, careful inquiry
脹	33081	12	9		1	1922	チョウ	は･れる, ふく･らむ, ふく･れる	dilate, distend, bulge, fill out, swell
腸	33144	13	6	1807	1	1270	チョウ	はらわた, わた	intestines, guts, bowels, viscera
蝶	34678	15	9	2011	1	2236	チョウ		butterfly
調	35519	15	3	87	2	342	チョウ	しら･べる, しら･べ, ととの･う, ととの･える	tune, tone, meter, key (music), writing style, prepare, exorcise, investigate, harmonize, mediate
諜	35548	16		2445			チョウ	ちょう･ずる, うかが･う, しめ･す	spy out, reconnoiter
超	36229	12	8	597	2	1000	チョウ	こ･える, こ･す	transcend, super-, ultra-
跳	36339	13	8	1716	1	1563	チョウ	は･ねる, と･ぶ, -と･び	hop, leap up, spring, jerk, prance, buck, splash, sputter, snap
銚	37530	14		2102			チョウ, ヨウ	なべ	sake bottle
長	38263	8	2	12	4	95	チョウ	なが･い, おさ	long, leader, superior, senior
頂	38914	11	6	1350	2	1440	チョウ	いただ･く, いただき	place on the head, receive, top of head, top, summit, peak
鳥	40165	11	2	1043	3	285	チョウ	とり	bird, chicken
勅	21189	9	8	2157	1	1886	チョク	いまし･める, みことのり	imperial order
捗	25431	10	8				チョク, ホ	はかど･る	make progress
直	30452	8	2	246	2	423	チョク, ジキ, ジカ	ただ･ちに, なお･す, -なお･す, なお･る, なお･き, す･ぐ	straightaway, honesty, frankness, fix, repair
朕	26389	10	8		1	1921	チン		majestic plural, imperial we
沈	27784	7	8	1271	2	936	チン, ジン	しず･む, しず･める	sink, be submerged, subside, be depressed, aloes
珍	29645	9	8	1330	2	1215	チン	めずら･しい, たから	rare, curious, strange
賃	36035	13	6	961	2	751	チン		fare, fee, hire, rent, wages, charge
鎮	37806	18	8	1617	1	1786	チン	しず･める, しず･まる, おさえ	tranquilize, ancient peace-preservation centers
陳	38515	11	8	1323	1	1405	チン	ひ･ねる	exhibit, state, relate, explain
